model,dataset,arm,metric,mean,sd,n,missing_seeds,seed42,seed123,seed2026
bpr,musical,uniform,NDCG@20,0.0135967,0.00141515,3,,0.0150794,0.0122605,0.0134503
bpr,musical,uniform,HitRatio@20,0.0516368,0.00409478,3,,0.0558642,0.0476889,0.0513573
bpr,musical,uniform,rho,0.331954,6.11222e-05,3,,0.331936,0.332022,0.331904
bpr,musical,uniform,collision,0,0,3,,0,0,0
bpr,musical,causal,NDCG@20,0.0160262,0.000734212,3,,0.0167377,0.0160697,0.0152713
bpr,musical,causal,HitRatio@20,0.0623974,0.00131048,3,,0.0629913,0.0608951,0.0633057
bpr,musical,causal,rho,0,0,3,,0,0,0
bpr,musical,causal,collision,7.0835e-06,5.1458e-08,3,,7.03342e-06,7.08086e-06,7.13623e-06
bpr,baby,uniform,NDCG@20,0.00631358,0.000465619,3,,0.0066931,0.00645364,0.00579401
bpr,baby,uniform,HitRatio@20,0.0254427,0.000365495,3,,0.0255224,0.0250439,0.0257617
bpr,baby,uniform,rho,0.384388,3.88694e-05,3,,0.384349,0.384389,0.384426
bpr,baby,uniform,collision,0,0,3,,0,0,0
bpr,baby,causal,NDCG@20,0.0107143,0.00054428,3,,0.0100884,0.0109781,0.0110765
bpr,baby,causal,HitRatio@20,0.0363429,0.00333872,3,,0.0327803,0.036848,0.0394002
bpr,baby,causal,rho,0,0,3,,0,0,0
bpr,baby,causal,collision,2.41698e-06,4.32483e-08,3,,2.46363e-06,2.4091e-06,2.37822e-06
bpr,cellphone,uniform,NDCG@20,0.00647835,,1,seed123 seed2026,0.00647835,,
bpr,cellphone,uniform,HitRatio@20,0.0196758,,1,seed123 seed2026,0.0196758,,
bpr,cellphone,uniform,rho,0.440587,,1,seed123 seed2026,0.440587,,
bpr,cellphone,uniform,collision,0,,1,seed123 seed2026,0,,
bpr,cellphone,causal,NDCG@20,0.00723188,,1,seed123 seed2026,0.00723188,,
bpr,cellphone,causal,HitRatio@20,0.0244632,,1,seed123 seed2026,0.0244632,,
bpr,cellphone,causal,rho,0,,1,seed123 seed2026,0,,
bpr,cellphone,causal,collision,1.84783e-06,,1,seed123 seed2026,1.84783e-06,,
bpr,philadelphia,uniform,NDCG@20,0.06615,0.00211709,3,,0.0640475,0.0682814,0.0661212
bpr,philadelphia,uniform,HitRatio@20,0.188558,0.00890167,3,,0.178297,0.193176,0.194202
bpr,philadelphia,uniform,rho,0.28733,3.10476e-05,3,,0.287343,0.287295,0.287353
bpr,philadelphia,uniform,collision,3.22962e-08,1.45828e-08,3,,1.58052e-08,3.75932e-08,4.34902e-08
bpr,philadelphia,causal,NDCG@20,0.0600986,0.00145313,3,,0.0612554,0.0605729,0.0584676
bpr,philadelphia,causal,HitRatio@20,0.185009,0.00482055,3,,0.188045,0.187532,0.179451
bpr,philadelphia,causal,rho,0,0,3,,0,0,0
bpr,philadelphia,causal,collision,3.12778e-05,2.86203e-07,3,,3.14142e-05,3.09489e-05,3.14703e-05
neumf-pretrain,musical,uniform,NDCG@20,0.0124682,0.000368294,3,,0.012583,0.0127653,0.0120561
neumf-pretrain,musical,uniform,HitRatio@20,0.0473745,0.00161354,3,,0.0469552,0.0491563,0.0460119
neumf-pretrain,musical,uniform,rho,0.331887,0.000100895,3,,0.331778,0.331978,0.331904
neumf-pretrain,musical,uniform,collision,0,0,3,,0,0,0
neumf-pretrain,musical,causal,NDCG@20,0.0133122,0.00117161,3,,0.0137868,0.014172,0.0119777
neumf-pretrain,musical,causal,HitRatio@20,0.0506236,0.00367287,3,,0.0508332,0.0541872,0.0468504
neumf-pretrain,musical,causal,rho,0,0,3,,0,0,0
neumf-pretrain,musical,causal,collision,6.88348e-06,3.25689e-07,3,,7.12688e-06,7.01005e-06,6.5135e-06
neumf-pretrain,baby,uniform,NDCG@20,0.00585317,0.000609269,3,,0.00518237,0.00637222,0.00600491
neumf-pretrain,baby,uniform,HitRatio@20,0.0237943,0.00151819,3,,0.0223321,0.0253629,0.023688
neumf-pretrain,baby,uniform,rho,0.384352,6.85117e-05,3,,0.384383,0.384273,0.384399
neumf-pretrain,baby,uniform,collision,0,0,3,,0,0,0
neumf-pretrain,baby,causal,NDCG@20,0.00457198,7.27188e-05,3,,0.0044939,0.00458429,0.00463776
neumf-pretrain,baby,causal,HitRatio@20,0.0193279,0.000974653,3,,0.0182645,0.0195406,0.0201787
neumf-pretrain,baby,causal,rho,0,0,3,,0,0,0
neumf-pretrain,baby,causal,collision,2.35389e-06,1.62271e-07,3,,2.26021e-06,2.54127e-06,2.26021e-06
neumf-pretrain,cellphone,uniform,NDCG@20,0.00406686,0.000463975,3,,0.00395645,0.00366805,0.00457608
neumf-pretrain,cellphone,uniform,HitRatio@20,0.013498,0.00204012,3,,0.0128754,0.0118417,0.0157769
neumf-pretrain,cellphone,uniform,rho,0.440589,1.28175e-05,3,,0.440594,0.440599,0.440575
neumf-pretrain,cellphone,uniform,collision,0,0,3,,0,0,0
neumf-pretrain,cellphone,causal,NDCG@20,0.00771539,0.000529829,3,,0.00817484,0.00783551,0.00713581
neumf-pretrain,cellphone,causal,HitRatio@20,0.0257084,0.00315226,3,,0.0276005,0.0274554,0.0220695
neumf-pretrain,cellphone,causal,rho,0,0,3,,0,0,0
neumf-pretrain,cellphone,causal,collision,1.84671e-06,1.63361e-08,3,,1.85614e-06,1.82785e-06,1.85614e-06
neumf-pretrain,philadelphia,uniform,NDCG@20,0.0486409,0.000696216,3,,0.0478679,0.0492187,0.0488361
neumf-pretrain,philadelphia,uniform,HitRatio@20,0.176159,0.00276403,3,,0.173294,0.17881,0.176372
neumf-pretrain,philadelphia,uniform,rho,0.287318,9.56912e-05,3,,0.287252,0.287428,0.287274
neumf-pretrain,philadelphia,uniform,collision,4.62083e-08,4.23506e-08,3,,0,5.545e-08,8.31749e-08
